Date,Open,High,Low,Close,Volume
2022-03-09,321.20001220703125,335.57000732421875,310.1650085449219,326.9800109863281,1322900
2022-03-10,324.0950012207031,325.1400146484375,302.31500244140625,315.1300048828125,1455200
2022-03-11,322.04998779296875,331.7799987792969,313,317.92999267578125,998200
2022-03-14,309.260009765625,316.7200012207031,291.07501220703125,298.510009765625,783800
2022-03-15,298.0799865722656,316.9200134277344,290.70001220703125,315.75,832200
2022-03-16,319.5199890136719,334.1700134277344,315.7149963378906,334.1600036621094,1195300
2022-03-17,317.4700012207031,323.70001220703125,307.17999267578125,314.6000061035156,1605800
2022-03-18,297.25,318.3500061035156,292.3810119628906,312.510009765625,3625300
2022-03-21,314.1300048828125,320,304.6400146484375,312.0799865722656,982000
2022-03-22,314.5299987792969,328.2799987792969,313.4700012207031,325.1099853515625,1040500
2022-03-23,316.19000244140625,340,315,327.2699890136719,1052700
2022-03-24,330.80999755859375,338.32000732421875,315,337.739990234375,1044400
2022-03-25,336.3800048828125,338.9599914550781,321.7300109863281,335.2699890136719,859000
2022-03-28,332.6700134277344,339.79998779296875,320.44000244140625,333.07000732421875,1185000
2022-03-29,331.75,334.3999938964844,310.7099914550781,324.5,1714800
2022-03-30,330.1199951171875,334.7799987792969,313.1400146484375,314.2300109863281,1158200
2022-03-31,318.1499938964844,328.8699951171875,314.5799865722656,322.3699951171875,1203900
2022-04-01,319.1499938964844,334.760009765625,318,322.8299865722656,834300
2022-04-04,325.55999755859375,341.92999267578125,323.510009765625,335.30999755859375,812400
2022-04-05,337.3599853515625,344.6099853515625,323.1600036621094,328.69000244140625,922200
2022-04-06,322,327,311.6199951171875,320.1600036621094,797400
2022-04-07,319.5899963378906,329.2900085449219,309.05999755859375,314.92999267578125,795700
2022-04-08,312.92999267578125,313.8999938964844,299.2900085449219,301.5799865722656,699700
2022-04-11,299.489990234375,305.7200012207031,291.9599914550781,300.0299987792969,839300
2022-04-12,307.3999938964844,311.94000244140625,300.42999267578125,301.45001220703125,584100
2022-04-13,304.25,311.3900146484375,300.760009765625,308,459600
2022-04-14,310.29998779296875,314,300.5799865722656,300.6600036621094,568100
2022-04-18,299.8500061035156,305.1650085449219,296.3399963378906,302.2699890136719,404000
2022-04-19,305,307.5199890136719,293.69000244140625,304.82000732421875,706100
2022-04-20,309.989990234375,309.989990234375,280.2300109863281,281.6099853515625,973200
2022-04-21,284.6099853515625,285.5299987792969,253.35000610351562,254.14999389648438,1407900
2022-04-22,254.5,261.5,249.84500122070312,251.5800018310547,1781700
2022-04-25,247.77000427246094,255.60000610351562,245.05999755859375,253.49000549316406,832900
2022-04-26,252.22000122070312,253.81500244140625,244.74000549316406,244.75999450683594,943400
2022-04-27,250.7899932861328,263.3550109863281,246.3699951171875,249.47999572753906,1156600
2022-04-28,256.1600036621094,259.6199951171875,241.55499267578125,254.41000366210938,1331800
2022-04-29,253.3800048828125,260.6400146484375,249.6999969482422,250.41000366210938,762600
2022-05-02,250.5,256.5199890136719,245.60000610351562,255.30999755859375,1056200
2022-05-03,255.7899932861328,265.6499938964844,246.25999450683594,262.6700134277344,1140600
2022-05-04,265.8299865722656,284.8900146484375,261.25,284.6000061035156,1027300
2022-05-05,280.8900146484375,283.20001220703125,261.44000244140625,266.2300109863281,874300
2022-05-06,264.1099853515625,264.1099853515625,250,251.80999755859375,599400
2022-05-09,246.27999877929688,250.97999572753906,221.0850067138672,225.36000061035156,1164100
2022-05-10,238.02999877929688,242.94000244140625,224.02999877929688,233.8000030517578,1086000
2022-05-11,232,237.8300018310547,215.6999969482422,216.52000427246094,1094100
2022-05-12,212.6999969482422,227.1699981689453,207,211.9199981689453,1259400
2022-05-13,221.07000732421875,236.63999938964844,220.3300018310547,232.25,1145100
2022-05-16,229.97999572753906,233.5,221.98500061035156,222.7899932861328,591100
2022-05-17,231.61000061035156,239.51499938964844,230,239.35000610351562,854400
2022-05-18,232.8699951171875,252.92999267578125,232.25,238.8000030517578,1000700
2022-05-19,237.25,263.8900146484375,237.25,252.17999267578125,1132400
2022-05-20,257.260009765625,261.5169982910156,245.77999877929688,256.80999755859375,838900
2022-05-23,258.3699951171875,259.4150085449219,245.85000610351562,255.6300048828125,722900
2022-05-24,251.75999450683594,251.75999450683594,242.48500061035156,248.22999572753906,489800
2022-05-25,248.19000244140625,256.75,244.6300048828125,253.4499969482422,528700
2022-05-26,254.3300018310547,269.7799987792969,250.42999267578125,266.44000244140625,725000
2022-05-27,269.70001220703125,281.8399963378906,269.20001220703125,280.3599853515625,599700
2022-05-31,280.55999755859375,282.4100036621094,267.385009765625,272.7900085449219,827000
2022-06-01,273.2900085449219,279.2699890136719,268.6000061035156,272.4800109863281,533800
2022-06-02,280.07000732421875,304.8030090332031,278.4700012207031,300.489990234375,987500
2022-06-03,292.0199890136719,307.489990234375,290.29998779296875,298.3399963378906,568400
2022-06-06,311.260009765625,314.5199890136719,299.6099853515625,306.8800048828125,954800
2022-06-07,300.57000732421875,307.3699951171875,300.1600036621094,306.4200134277344,630700
2022-06-08,308.3900146484375,312.989990234375,296.6300048828125,298.44000244140625,616200
2022-06-09,296.1400146484375,302,291.3399963378906,291.6700134277344,527400
2022-06-10,282.0299987792969,292,278.5799865722656,284.3599853515625,843200
2022-06-13,268.45001220703125,271.5400085449219,255.8249969482422,264.3399963378906,1226100
2022-06-14,265.3299865722656,269.55999755859375,260.4200134277344,264.6300048828125,566800
2022-06-15,267.3599853515625,277.3800048828125,260.8450012207031,274.1300048828125,680700
2022-06-16,262.2799987792969,269,250.7899932861328,253.97999572753906,815100
2022-06-17,258.760009765625,277.92999267578125,256.1700134277344,275.4100036621094,2001400
2022-06-21,281.55999755859375,291.7699890136719,280,283.1000061035156,721100
2022-06-22,278,290.94000244140625,274.7699890136719,280.3999938964844,825000
2022-06-23,282.7799987792969,293.1400146484375,276.54998779296875,291.5299987792969,800300
2022-06-24,292.9100036621094,294.5,272.30499267578125,286.3399963378906,739600
2022-06-27,287.2099914550781,303.9800109863281,286.54998779296875,298.5199890136719,949700
2022-06-28,299,300.739990234375,277.5299987792969,279.239990234375,696400
2022-06-29,270.54998779296875,271.739990234375,256.75,262.9599914550781,1030400
2022-06-30,259.6099853515625,278.6400146484375,258,273.67999267578125,853400
2022-07-01,271.70001220703125,284,271.69000244140625,276.29998779296875,554900
2022-07-05,268.04998779296875,272.0199890136719,256.18499755859375,271.2699890136719,758000
2022-07-06,272.0199890136719,275.4880065917969,265.0199890136719,269.7900085449219,442500
2022-07-07,273.80999755859375,289.239990234375,272.9649963378906,286.8599853515625,660900
2022-07-08,282,297.5799865722656,278.0799865722656,295.1099853515625,678600
2022-07-11,292.510009765625,294,276.3800048828125,279.6700134277344,796700
2022-07-12,279.6099853515625,281.9800109863281,257.239990234375,265.3699951171875,915800
2022-07-13,257,275.3599853515625,255.5800018310547,269.0299987792969,655300
2022-07-14,265.9200134277344,269.7799987792969,257.8299865722656,269.0199890136719,675700
2022-07-15,259.0299987792969,266.3550109863281,245.2550048828125,265.8500061035156,1309100
2022-07-18,273.42999267578125,289,272.80999755859375,280.67999267578125,976100
2022-07-19,282.29998779296875,290.4700012207031,279.2300109863281,290.29998779296875,610800
2022-07-20,289.6600036621094,299.8599853515625,287.3900146484375,295.8599853515625,847600
2022-07-21,298.6300048828125,298.8399963378906,283.5199890136719,292.9800109863281,625900
2022-07-22,294.75,300.989990234375,285.45001220703125,288.92999267578125,552400
2022-07-25,289,299.9750061035156,284.17999267578125,299.3800048828125,666600
2022-07-26,298.2799987792969,302.8399963378906,294.5,296.4800109863281,799600
2022-07-27,315.3999938964844,326.0899963378906,309.20001220703125,325.19000244140625,1784300
2022-07-28,345.6600036621094,375.8999938964844,334.2099914550781,341.19000244140625,2424400
2022-07-29,339.3399963378906,362.7900085449219,337.2900085449219,360.1300048828125,1384100
2022-08-01,352.8450012207031,363.989990234375,348.6000061035156,358.5899963378906,1325600
2022-08-02,350,374.4800109863281,350,365.4100036621094,1736100
2022-08-03,329,329.0679931640625,294,295.5199890136719,5155900
2022-08-04,297,319.3999938964844,292.1099853515625,309.2200012207031,2093300
2022-08-05,316.2200012207031,327.79998779296875,308,315.5,1556500
2022-08-08,322.510009765625,331.19000244140625,302.7200012207031,303.1099853515625,1627200
2022-08-09,295.0150146484375,314.125,291.1300048828125,312.6300048828125,1147400
2022-08-10,321.8699951171875,324.7200012207031,313.010009765625,323.739990234375,915400
2022-08-11,326.4200134277344,329.1300048828125,318.1000061035156,319.0199890136719,866700
2022-08-12,322.29998779296875,333.7799987792969,316.70001220703125,330.5199890136719,771900
2022-08-15,322.7200012207031,330.8500061035156,318.54998779296875,324.17999267578125,727900
2022-08-16,322.6199951171875,323.9750061035156,309.5,311.2699890136719,697400
2022-08-17,305.8800048828125,313.8399963378906,300.8500061035156,310.6199951171875,769400
2022-08-18,316.2900085449219,320.95001220703125,312.4849853515625,317.2200012207031,472500
2022-08-19,307.70001220703125,309.94000244140625,298.45001220703125,300.3299865722656,901200
2022-08-22,294.7300109863281,296.2229919433594,286.29998779296875,288.8399963378906,904100
2022-08-23,291.5199890136719,295.4100036621094,288.010009765625,288.4599914550781,646600
2022-08-24,289.010009765625,299.5299987792969,289,294.6099853515625,707100
2022-08-25,296.0799865722656,302.656005859375,295.94000244140625,300.739990234375,508100
2022-08-26,302.3399963378906,307.94000244140625,287.8800048828125,287.92999267578125,589800
2022-08-29,284.2300109863281,291.6300048828125,276.7099914550781,279.4599914550781,1231000
2022-08-30,284.54998779296875,287.5,268.57501220703125,275.5,1012400
2022-08-31,277.8699951171875,280.69000244140625,270.6499938964844,275.9700012207031,795200
2022-09-01,271.1499938964844,271.3399963378906,262.8900146484375,269.32000732421875,772700
